page_id,line_id,reason,bbox,text
jnanadasa1895__05,r2l16,ctc_infeasible,"(146, 2146, 1880, 2268)",मैंहौं सूक्ष्म एकज्ञाता पुनि । साक्षी सत अविनाशी जो सुनि ।।
nivajakavi1895__00b,r2l4,ctc_infeasible,"(1866, 1078, 1899, 1159)",नवीनसंग्रह ॥
nivajakavi1895__04,r2l29,ctc_infeasible,"(498, 2001, 1068, 2044)",तीनहुं प्रीतिबढ़ाई । प्राण तिहूंनके ह्वैरहे यों यक देह में
nivajakavi1895__04,r2l61,ctc_infeasible,"(2142, 2712, 2601, 2781)",कहुं मोंहनि फेरे । बात कहे हँसि कें जबहीं तब श्रौन-
nivajakavi1895__05,r1l51,ctc_infeasible,"(1875, 3618, 2325, 3664)",घनाक्षरी । मृग के चर्म ही को पहिरैंदुकूल और
nivajakavi1895__05,r1l55,ctc_infeasible,"(1905, 3754, 2340, 3815)",गहने की कहा है न गरे में जाकें पोति है । तोऊ जाके
nivajakavi1895__08,r3l64,ctc_infeasible,"(2075, 3896, 2495, 3974)",निकी सींचनिहारी ॥ बिधिअतिहो सुकुमारि सम्हारी ।
nivajakavi1895__10,r3l35,ctc_infeasible,"(2372, 2614, 2571, 2697)",घनाक्षरी । जाके तेज होत न अनीति कहूं नीति
nivajakavi1895__11,r2l60,ctc_infeasible,"(746, 4139, 1196, 4214)",चौपाई । दोऊ सखी दुहून निहारे । कोटि काम रति
paramananda1924__001,r1l2,ctc_infeasible,"(197, 424, 2079, 588)",प्रस्तुत पुस्तक एक वदांत विषयक ग्रंथ है । इसमें वेदांत के
paramananda1924__001,r1l3,ctc_infeasible,"(119, 553, 2067, 719)",सिद्धांत का आश्रयण करके समस्त भ्रमात्मक धार्मिक बातों का
paramananda1924__001,r1l5,ctc_infeasible,"(101, 820, 2051, 990)",पांडित्य-पूर्ण शैली से किया गया है कि पाठकों को 'गागर
paramananda1924__001,r1l6,ctc_infeasible,"(95, 949, 2058, 1127)",में सागर' की कहावत सत्य सिद्ध होगी । केवल इस एक ही ग्रंथ
paramananda1924__001,r1l7,ctc_infeasible,"(95, 1085, 2049, 1256)",के पठन और मनन करने से वेदांत-संबंधी अत्यावश्यक विषयों
paramananda1924__001,r1l10,ctc_infeasible,"(71, 1558, 2033, 1721)","इसका तृतीय संस्करण है, जो इस बात को सिद्ध करता है कि"
paramananda1924__001,r1l11,ctc_infeasible,"(74, 1685, 2015, 1847)",धार्मिक जगत् में धर्म के जिज्ञासुओं द्वारा इस पुस्तक का यथो-
paramananda1924__001,r1l14,ctc_infeasible,"(89, 2159, 2006, 2309)",एक नवीन शैली से संशोधन करके उनके कर-कमलों में अर्पित
paramananda1924__06,r1l8,ctc_infeasible,"(87, 1226, 2040, 1365)",है । स्वायंभुव मनु के वंश में ऋषभदेव नामक बड़ा धर्मात्मा राजा
paramananda1924__06,r1l9,ctc_infeasible,"(65, 1364, 2054, 1497)",था । उसके सौ पुत्र हुए । उनमें इक्यासी पुत्र कर्मों के द्वारा ब्राह्मण
paramananda1924__06,r1l11,ctc_infeasible,"(62, 1631, 2042, 1764)","प्रधानता सिद्ध हुई, क्योंकि कर्म-रूपी गुण करके क्षत्रिय से ब्राह्मण"
pyarelala1914__00a,r3l4,ctc_infeasible,"(1094, 582, 1304, 658)",श्रीगणेशाय नम: ।
pyarelala1914__00a,r3l7,ctc_infeasible,"(749, 1036, 1445, 1135)","भजन, ठुमरी, दादरा, पूर्वी, बिहाग, खम्माच,"
pyarelala1914__00a,r3l23,ctc_infeasible,"(939, 2170, 1626, 2273)",सुपरिंटेंडेंट बाबू मनोहरलाल भार्गव बी ए के प्रबन्ध से
pyarelala1914__00a,line_1518173589613_83,ctc_infeasible,"(669, 2723, 1692, 2824)",हक- तसनीफ़ महफूज है बद्दक इस छापेखाने के ।।
saktidharasukla1930__00c,r3l12,empty_text,"(2247, 1206, 2280, 1257)",
saktidharasukla1930__00c,r3l19,empty_text,"(2235, 2347, 2463, 2406)",
saktidharasukla1930__08,r12l1,empty_text,"(3435, 193, 3528, 346)",
saktidharasukla1930__10,r12l1,empty_text,"(3375, 227, 3429, 383)",
sankaracarya1925__000c,r3l16,ctc_infeasible,"(857, 1153, 894, 1200)",रायबहादुर बाबू ज़ालिमसिंह
sankaracarya1925__000c,r3l18,ctc_infeasible,"(450, 1538, 834, 1584)","केसरीदास सेठ, सुपरिंटेंडेंट द्वारा"
sankaracarya1925__000c,r3l26,empty_text,"(724, 2123, 1065, 2168)",
simha1914__0000_a,r2l16,ctc_infeasible,"(1404, 2758, 1485, 2841)",५ जुज़ ४ र्वक़
simha1914__0000_a,r2l17,empty_text,"(1809, 2908, 2003, 2997)",
simha1914__000_3,r2l2,empty_text,"(1263, 333, 1281, 417)",
simha1914__05,r2l2,empty_text,"(1314, 268, 1347, 316)",
sivaramasukla1900__10,r3l88,ctc_infeasible,"(172, 2261, 479, 2304)",र्वितां पररतां मुञ्चतिशीघ्रंबुधाः ६ ।।
sriramastavarajah1898__11,r1l3,ctc_infeasible,"(170, 583, 1269, 688)",प्तद्वीपाः समुद्रश्च नगा नद्यस्तथा द्रुमाः ।
vyasa1896__02,r1l48,ctc_infeasible,"(143, 2681, 1582, 2777)",प्राकृत्यःश्रुतयःसर्वाभगवंतंमधोक्षजम् । स्तुवंतिदोषनाशायतत्राविष्टोभवेद्यथा १ ।।
vyasa1896__04,r1l33,ctc_infeasible,"(64, 2645, 1554, 2728)",* कथानंत्योक्तिहृदयाःसाधनानिविकुर्वते ।। साज्ञात्तेपादसंश्लिष्टास्तेकिंवाच्यामहा
vyasa1896__05,r3l41,ctc_infeasible,"(199, 2654, 1632, 2736)",+ कर्मरूपंहरिंकेचित्सेवंतेयोगरूपिणम् ।। तेभ्योप्यक्षररूपस्यमेषकाःसंमताःसताम् ५
vyasa1896__05,line_1522070770658_2,empty_text,"(104, 411, 120, 483)",
vyasa1896__08,r1l42,ctc_infeasible,"(199, 2667, 1620, 2763)",* कृष्णेहरौभगवतिपरमानंदसागरः ।। वर्त्ततेनात्रसंदेहःकथातत्रनियामिका ८ ।।
vyasa1896__09,r2l37,ctc_infeasible,"(189, 2685, 1620, 2776)",* असत्संगोनकर्त्तव्योभक्तिमार्गस्यबाधकः ।। देहेह्मनुगुणेकृष्णेनेंद्रियाणांप्रियं
vyasa1896__10,r1l40,ctc_infeasible,"(113, 2688, 1591, 2763)",* सर्वएवहरेर्भक्तास्तुल्यायान्मन्यतेहरिः ।। अतःकृष्णोयथात्मीयान्मन्यतेभजनंतथा १०
vyasa1896__11,r2l31,ctc_infeasible,"(151, 2703, 1629, 2796)",* ज्ञानमार्गोभ्रांतिरूपस्ततःकृष्णंभजेद्बुधः ।। प्रवर्त्तकंज्ञानकांडंचित्तुशद्ध्य
vyasa1896__12,r2l28,ctc_infeasible,"(206, 2675, 1624, 2773)",* भ्रांतिमूलतयासर्वसमयानामयुक्तितः ।। नतद्विरोधात्कृष्णास्व्यंपरंब्रह्मत्यजेद्बु
vyasa1896__15,r3l69,ctc_infeasible,"(251, 2675, 1656, 2763)",* सुवर्णप्रतिमेवासौसर्वानंदमयोऽधिराट् ।। सवसेव्योनियंताचनिर्द्दुष्टःसर्वएवहि १५ 
vyasa1906__04,r1l57,empty_text,"(2043, 3360, 2058, 3418)",
vyasa1906__05,r1l77,empty_text,"(2004, 3360, 2027, 3415)",
vyasa1906__06,r1l15,empty_text,"(155, 1988, 236, 2039)",
vyasa1906__10,r1l29,empty_text,"(234, 3343, 270, 3436)",
